ETF_Name,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(소재/부품),2차전지(장비),2차전지(전고체),3D 낸드(NAND),4대강 복원,CXL(컴퓨트익스프레스링크),IT 대표주,IT서비스,MLCC(적층세라믹콘덴서),PCB(FPCB 등),가구,가스유틸리티,가정용기기와용품,가정용품,갤럭시 부품주,건강관리기술,건강관리업체및서비스,건강관리장비와용품,건설,건축자재,건축제품,게임엔터테인먼트,광고,교육서비스,그래핀,기계,기타,기타금융,다각화된소비자서비스,다각화된통신서비스,담배,도로와철도운송,디스플레이장비및부품,디스플레이패널,레저용장비와제품,리비안(RIVIAN),리튬,마이코플라스마 폐렴,맥신(MXene),메르스 코로나 바이러스,무선충전기술,무선통신서비스,무역회사와판매업체,문구류,바이오인식(생체인식),반도체 재료/부품,반도체와반도체장비,방송과엔터테인먼트,백화점과일반상점,복합기업,복합유틸리티,부동산,비철금속,사무용전자제품,상업서비스와공급품,생명과학도구및서비스,생명보험,생물공학,석유와가스,"섬유,의류,신발,호화품",소프트웨어,손해보험,스마트카(SMART CAR),스마트폰,시멘트/레미콘,시스템반도체,식품,식품과기본식료품소매,아이폰,양방향미디어와서비스,에너지장비및서비스,온디바이스 AI,우주항공과국방,운송인프라,윤활유,은행,음료,인터넷과카탈로그소매,자동차,자동차 대표주,자동차부품,자율주행차,재난/안전(지진/화재 등),전기유틸리티,전기자전거,전기장비,전기제품,전기차,전문소매,전자장비와기기,전자제품,정유,제약,조선,종이와목재,증권,창업투자,철강,출판,카드,카메라모듈/부품,컴퓨터와주변기기,콜드체인(저온 유통),태풍 및 장마,통신,통신장비,판매업체,포장재,항공사,항공화물운송과물류,해운사,핸드셋,"호텔,레스토랑,레저",화장품,화학
PLUS 한화그룹주,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003504555922699509,0.09211975568238709,0.0,0.0,0.0,0.0,0.0,0.0,0.04275558225693401,0.0,0.0,0.0,0.0,0.011014318614198458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14158405927706016,0.0,0.3307299489336137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2771603084009212,0.0,0.021828376889956945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07930309402222889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RISE 바이오TOP10액티브,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01941354903943377,0.0,0.06450960566228513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023559150657229525,0.0,0.3984833164812942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49403437815975737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
마이티 바이오시밀러&CDMO액티브,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497784937575513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750503423278292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03624647603705195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039971808296415626
SOL 전고체배터리&실리콘음극재,0.9549729837902742,0.1165699419651791,0.20202121272763657,0.20202121272763657,0.4642785671402841,0.09155493295977586,0.7602561536922153,0.08595157094256553,0.0,0.0,0.20202121272763657,0.0,0.13247948769261556,0.09205523313988391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29357614568741247,0.026215729437662594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04502701620972583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20202121272763657,0.0,0.0,0.0,0.0,0.20202121272763657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20202121272763657,0.0,0.3185911546928157,0.3185911546928157,0.0,0.22453472083249945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45687412447468473
ITF K-AI반도체코어테크,0.005847363645528782,0.0,0.0,0.0,0.005847363645528782,0.0,0.15646738582518396,0.442584937997782,0.0,0.4194979332594011,0.5401754209093658,0.12460933561850991,0.15646738582518396,0.22713983264441978,0.0,0.0,0.0,0.0,0.37080350841818727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023187821352958966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143361225930033,0.0,0.0,0.0,0.0,0.01522330880129045,0.6424034680915414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143361225930033,0.0,0.5764694021574754,0.0,0.0,0.5720334711160397,0.0,0.0,0.6347414053836071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762677689283193,0.0,0.0,0.0,0.0,0.0,0.005847363645528782,0.0,0.23298719628994854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15646738582518396,0.0,0.0023187821352958966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
아이엠에셋 200,0.061632817212949935,0.01568469736577519,0.01749447013874925,0.022622159662175755,0.03800522823245526,0.0,0.02895636436758496,0.33269656143173143,0.0,0.33138950331791683,0.3514980896842952,0.0063342047054092115,0.005228232455258396,0.005228232455258396,0.00030162879549567673,0.0010054293183189224,0.004323346068771366,0.0,0.2344661170319727,0.0,0.0,0.0005027146591594612,0.009048863864870301,0.001206515181982707,0.0,0.010959179569676252,0.0010054293183189224,0.0,0.0,0.035491654936657964,0.0,0.0,0.0,0.008345063342047055,0.008445606273878947,0.0,0.0,0.0021114015684697367,0.0,0.010657550774180577,0.03840739995978283,0.0,0.00040217172732756894,0.0007038005228232457,0.23878946310074406,0.008345063342047057,0.0016086869093102757,0.0,0.0,0.0032173738186205524,0.33390307661371416,0.003720088477780013,0.005228232455258396,0.03338025336818822,0.00020108586366378447,0.0,0.005529861250754073,0.0,0.001206515181982707,0.0,0.00814397747838327,0.0,0.017796098934244924,0.0033179167504524434,0.0,0.014277096320128699,0.015383068570279513,0.24100140760104571,0.00020108586366378447,0.33390307661371416,0.009652121455861657,0.0,0.3584355519806958,0.03408405389101147,0.003619545545948121,0.3366177357731753,0.037401970641463916,0.0,0.008345063342047057,0.08918158053488841,0.0007038005228232457,0.0,0.038809571687110404,0.05348883973456667,0.019002614116227636,0.4316308063543133,0.0,0.010657550774180577,0.00804343454655138,0.01839935652523628,0.020008043434546558,0.0980293585360949,0.0,0.0068369193645686725,0.00583149004624975,0.008345063342047057,0.04383671827870501,0.039714458073597435,0.0,0.02111401568469737,0.0,0.018097727729740602,0.0,0.0009048863864870301,0.0068369193645686725,0.0,0.0,0.00040217172732756894,0.016690126684094114,0.0016086869093102757,0.0,0.00040217172732756894,0.007842348682887594,0.004423889000603258,0.00623366177357732,0.00020108586366378447,0.002211944500301629,0.010858636637844362,0.022622159662175748
SOL 화장품TOP3플러스,0.0,0.06046931407942239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16115122342559166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023666265543521862,0.0,0.0,0.0,0.0,0.0,0.8151825110308866,0.0
PLUS 고배당주위클리고정커버드콜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02404184689669048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03641484760084499,0.0,0.0,0.0405391811688965,0.0,0.0,0.0,0.029876269992958462,0.029876269992958462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023237098883412136,0.0,0.0,0.07001307715521579,0.0320893270294739,0.0,0.0,0.0,0.0,0.0,0.0,0.0306810180062368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035207725580927475,0.0,0.0,0.10522080273614326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035207725580927475,0.29001106528518267,0.0,0.0,0.1060255507494216,0.1060255507494216,0.023237098883412136,0.1814706769942662,0.0,0.0,0.0,0.0,0.0,0.12926264963283374,0.0,0.0,0.0,0.035207725580927475,0.0,0.0,0.0,0.08811990745397849,0.0,0.019012171813700837,0.0,0.039633839653958364,0.0,0.0,0.0,0.0,0.09988934714817424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIGER 코리아배당다우존스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041470970320775465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167782552213451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03657439792145498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013390626561407017,0.0,0.0,0.03687418806835215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737383831318078,0.0,0.0,0.0,0.0,0.02877985410212851,0.0,0.041970620565604085,0.0,0.03807334865594084,0.043769361446987114,0.0,0.10552613170780455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807334865594084,0.21295093434595785,0.0,0.0,0.07924452882981912,0.07924452882981912,0.07614669731188169,0.07924452882981912,0.0,0.02478265214349955,0.0,0.0,0.0,0.09263515539122615,0.0,0.0,0.0,0.03807334865594084,0.0,0.0,0.0,0.09603277705606075,0.0,0.0,0.0,0.024882582192465277,0.0,0.0,0.0,0.0,0.03687418806835215,0.0,0.0,0.0,0.0,0.04386929149595283,0.0,0.0,0.0,0.0,0.0
더제이 중소형포커스액티브,0.0,0.0509855189058729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043041029766693495,0.0,0.0,0.0,0.0,0.0,0.04897425583266292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04987932421560741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041130329847144015,0.0,0.13746983105390187,0.04816975060337893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051186645213193896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05711987127916332,0.0,0.0,0.0,0.0,0.04686242960579245,0.0,0.0,0.05490748189863235,0.0,0.0,0.0,0.0,0.0597345132743363,0.0,0.0,0.0,0.0,0.0,0.0,0.061444086886564775,0.0,0.0,0.13998390989541434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062349155269509265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09774738535800485,0.0
